STUSPS,2014,2015,2016,2017,2018,2019,2020,2021,2022
AL,-30.1,99,-17.7,-55.2,99,20.8,17,-53.8,99
AK,-0.6,-10.4,0.8,4,36.4,-17,-45.5,42.6,33
AZ,-14.4,22,-17.3,9.6,-3.1,18.3,-4.2,28.1,-6.4
AR,6.6,-5.7,14.8,-26.6,55.9,12.4,-6.2,-4.9,21.9
CA,-14.9,11.2,-2.7,3.6,3.6,-8.8,-24.2,52.4,5.9
CO,-4.8,58,-7.9,-29.7,30.6,36,-23.8,6.7,8
CT,-9.9,18,-5.3,-20.1,36.4,-16.7,-19.5,71.8,-5.4
DE,-19.5,39,-15.1,4.8,6.4,0.1,-33.2,74.9,33.6
DC,-12.3,3.6,3.1,12,-17.4,30.1,-30,24.5,33
FL,-21.8,2.9,8.3,-21.7,38.1,0.2,-18.2,38.9,-3.4
GA,-22,36.4,-9.3,-12.7,0.8,55.9,-27.7,-11.9,72.6
HI,-16.1,26.2,-0.7,-5,-23.6,54.2,-38.6,50.7,15.7
ID,19.5,-8.5,7.4,30.1,5.5,-21.1,-16.3,10.6,65.6
IL,-5.3,-1.9,1.1,-4.1,6.2,15.1,-34.9,14.4,43.4
IN,-2.2,9.6,9.1,25.6,2.5,12.3,-30.9,19.7,36.3
IA,-20.1,28.7,9,-4.6,34.9,38.1,-29,-6.6,24
KS,-0.7,3.2,7.8,3.3,24.9,-1.5,-21.7,-2.4,26.9
KY,-20.3,6.9,7.3,12.8,25.7,9.1,-44.4,92.1,26.4
LA,2.9,13,-3.7,-24.1,38.2,4.8,16.6,-35.9,38.8
ME,-8,21.2,-10.8,5.7,8.2,-4.3,-34,62.4,7.5
MD,-22.8,34.2,7.5,-10.3,-29.9,55.6,2.7,-0.4,14.4
MA,1,9,4.3,12.9,-10.5,-7.8,-11,18.3,12.1
MI,-8.8,5.6,8.8,-6.3,12.7,14.8,-44.9,29.1,37.2
MN,-12.8,-17.9,13.8,-8.6,6.6,68.8,-14.7,-21.8,43.5
MS,-4.3,1.6,4.7,-33.1,70.1,1.1,-14.6,-2.2,14.2
MO,-11.8,1.6,7.9,9.7,3.2,4.3,-26.4,12.1,7.3
MT,3.4,-18.1,26.1,10.5,15.6,-10,-19.7,57.2,-23.5
NE,-2.9,-5.4,8.3,0.7,30.8,15.6,-26.1,-1.8,20.4
NV,-7.2,0.1,12.9,-16.6,-0.9,22.8,12.8,-21,31.2
NH,-11.1,11.1,-4.4,26.4,-4.3,-12.7,-37.8,98.8,-12.4
NJ,-20,5.8,15.7,-4.3,3.8,-8.6,-39.5,80.1,37.5
NM,2.3,1.1,2.9,31.2,8.1,-6.1,-32.1,11.9,16.3
NY,-27.6,16.3,3.3,-7.5,-5.8,5,-34.1,59.9,15.6
NC,-8.1,3.7,8,11.2,-1.9,27.1,-23.4,-0.7,3.4
ND,-1.3,6.9,86.5,-42,-15.3,39.9,-5,93.9,-25.7
OH,-15.3,6.1,4.7,23.9,12.7,0,-31.8,18.1,40.6
OK,-29.1,56.1,2.5,-4.7,7.5,-6.4,-32.6,44.7,14.8
OR,-24.6,40.5,17,-11,21.5,-13.4,-34.5,46,52.6
PA,-18.6,14.2,4.1,-13.6,27.6,10.6,-38.5,52.4,35.8
RI,-12,10,0.3,24.8,-10.8,-24.1,-36.2,99,1.2
SC,-6,2.8,-9.8,21,-22.6,2.5,-14,-26,88.2
SD,45.7,-19.8,19.4,-2.3,-1.1,24.8,6.9,15.1,-32.2
TN,-7.8,16.6,-0.2,-32.1,51.4,21.8,10.8,-37.9,45.2
TX,-8.7,23.8,-2.3,-20.9,28,51,-31.5,15.1,37.8
UT,42.6,12.1,-22,-16.8,8.5,57.4,-2.6,-24.2,20.9
VT,11.3,3.3,3.3,29,-8.8,-11.4,-36.3,51.2,19.5
VA,-11.8,-6.4,11.1,7.3,-17.4,28.8,-25.6,19.4,31.8
WA,-30.4,17.1,51,-26,-8,25.5,-13.7,22.2,59.1
WV,-6.3,20.7,-1.2,13.1,2.3,-14.1,-35.4,52.8,35.8
WI,-16.8,-0.8,2.3,-17.3,49,20.7,-37.5,41.4,21.8
WY,-10.3,18.4,-9.3,6,3.6,28.9,-37,9.1,31.3
