STUSPS,2014,2015,2016,2017,2018,2019,2020,2021,2022
AL,-4.2,6.6,20.6,-19.7,-1.7,-1.8,-22.5,1.5,29.8
AK,3.1,4.5,9.8,-10.4,-11.1,-0.1,-40.1,-7.5,-11.6
AZ,5,6.4,15,-6.5,-5.2,-0.8,-31.2,15.6,17.4
AR,-3.7,0.8,12.2,-2.8,-2.3,-2.8,-23.7,16.3,31.1
CA,3.4,5.6,6.5,-4,-6.2,-3.9,-28,-2.7,35.3
CO,-2.1,16.5,12.4,2.1,-4.2,-2.6,-32,10,12.5
CT,2.4,-1.3,14.1,-5.8,-2.6,-8.6,-26.6,10.8,29.8
DE,-10.3,4,1.7,1.8,-18.4,13.8,-37.6,40.7,30.3
DC,6.3,-6.1,4.6,-7.4,-3.8,-13.6,-31.1,15.8,35.5
FL,6.2,8.7,14.7,-6.4,2.2,-9.4,-44.3,26.5,36.6
GA,-2.4,8.9,14.1,-11.3,1.8,1.9,-32.9,9.6,31.3
HI,-7.8,13.4,-3.5,-14.1,0.6,-9.4,-44.9,-9.5,10.4
ID,3.9,14.9,1.2,5.7,0.7,-15.2,-19.9,-7.5,19.6
IL,1.5,10.8,6.7,-6.2,-5.5,-0.9,-27.9,-4.2,31.7
IN,4.4,6.8,16.3,1.1,-3.1,-12.5,-23.2,10.3,20.2
IA,2.9,19.5,5,5.2,-1.7,0.9,-29.4,-11.7,37.3
KS,-2.8,11.5,5.4,-0.1,-1.3,-8.7,-23.3,-13.8,30.9
KY,9.2,0.2,25.7,6.2,15.9,-31.2,-34.5,11.9,47.1
LA,0.6,7.2,23.2,-18.9,4.3,4.6,-49.5,21.4,53.6
ME,14.4,5.9,19.4,-8.8,9.7,-22.2,-31.3,-3.9,51.6
MD,-2.3,-8.7,15.2,-3.8,-3.2,-8.2,-28,7.7,40.2
MA,1,-4.2,25.1,3.7,-10.4,-7.1,-28.3,1.5,46.6
MI,7.3,-0.7,25,-16.1,4.9,-12.3,-19.9,-0.2,21.2
MN,7.7,7.1,5.9,2.6,4.4,-17.3,-29,-10.7,11.3
MS,-7.5,0,35.4,-16.6,-8.4,2.7,-39.5,14.2,47.7
MO,1.2,4.9,2,12.2,-0.9,-9.7,-15.4,-14.3,43.5
MT,1.3,15.1,9.1,-6.5,6.8,-3.5,-7.3,-20,20.3
NE,7.3,17.8,8,-5.8,22,-34.2,-35.3,5.3,28.8
NV,2.1,9.6,4.5,10.2,-14.8,8,-39.9,3.6,17.8
NH,-5.6,2.7,8,-2.3,-3.5,-7,-29.3,15.8,24.5
NJ,-2.8,-3.5,12.8,-3.1,0,-10.4,-37.9,25,45.2
NM,-8.3,7.9,13.2,-2.5,7.3,-13,-21.7,-3.6,17.9
NY,5.8,-8.1,23,-12.8,-3.3,-8,-34.1,-6.9,46.2
NC,2.1,7.8,12.5,1.8,-1.6,-11.6,-24.1,12.5,39
ND,9.5,18.4,-0.3,-7.8,13.8,-10.8,-33,-0.5,16.9
OH,5.9,9.6,7.5,-2.1,11.3,-12.5,-23.2,-5.7,51.3
OK,-4.5,9.9,22.1,-7.1,7.3,-21.8,-34.7,22.2,25.1
OR,2.9,17.3,15.9,-8.1,5,-12,-29.8,6.6,27.6
PA,-3.1,4.3,9,2,-6.1,-2.9,-31.3,-0.5,64
RI,-1.2,9.5,16.2,-2.2,5.7,-20.5,-33.5,-3.2,52.4
SC,-0.8,4.3,15.6,-1.5,1,-7.9,-20.7,18.2,33.7
SD,-10,14.2,-2.8,-17.2,11.3,5.9,-26.2,-23.1,0.3
TN,1.5,3.8,13.6,-2.4,-2.1,-0.9,-29.5,8.5,48.7
TX,2.8,4.7,11,-0.5,-5.1,3.3,-30.9,5.8,39.1
UT,12,11.6,5.6,-12.1,-10.4,19.5,-20.7,2.4,9
VT,-5.6,0.1,11.9,-11.2,4.7,-21.4,-23.6,-14.5,23.6
VA,2.2,-3,5.9,0.8,-6.9,-9.6,-26.6,12.3,41.5
WA,-1.2,9,10.3,0.2,-4.9,-1.8,-15.7,2.8,43.8
WV,3,0.4,18.1,-16.4,-13,21,-33,-9.7,64.8
WI,1.3,11,6.9,-6,11.3,-4,-36.6,11,21.6
WY,-20.7,30.2,-14.3,-3.9,-7.9,0.2,-41.2,16.2,27.5
